,paint,Name,Style,Painter,Link
44,pissaro.jpg,Women Gathering Grass,"Pointillism, Neo-Impressionism",Camille Pissarro,https://www.wikiart.org/en/camille-pissarro/women-gathering-grass-1883
45,Pollock1.jpg,Mask,Expressionism,Jackson Pollock,https://www.wikiart.org/en/jackson-pollock/mask
46,Pollock2.jpg,Blue (Moby Dick),Abstract Expressionism,Jackson Pollock,https://www.wikiart.org/en/jackson-pollock/blue-moby-dick
47,porch-ii-1947.jpg,Porch II,Expressionism,Philip Guston,https://www.wikiart.org/en/philip-guston/porch-ii-1947
48,portrait-of-a-lady-with-a-book-1888.jpg!Large.jpg,Portrait of a Lady with a book,Romanticism,Fyodor Bronnikov,https://www.wikiart.org/en/fyodor-bronnikov/portrait-of-a-lady-with-a-book-1888
49,portrait-of-daughter-1912.jpg,Portrait of daughter,Fauvism,Pyotr Konchalovsky,https://www.wikiart.org/en/pyotr-konchalovsky/portrait-of-daughter-1912
50,portrait-of-miss-dora-wheeler-1.jpg!Large.jpg,Portrait of Miss Dora Wheeler,Impressionism,William Merritt Chase,https://www.wikiart.org/en/william-merritt-chase/portrait-of-miss-dora-wheeler-1
51,portrait-of-miss-scobell-in-a-bathchair-the-convalescent.jpg,Portrait of Miss Scobell in a Bathchair (The Convalescent),Impressionism,Philip Wilson Steer,https://www.wikiart.org/en/philip-wilson-steer/portrait-of-miss-scobell-in-a-bathchair-the-convalescent
52,Rauschenberg.jpg,Interview,Neo-Dada,Robert Rauschenberg,https://www.wikiart.org/en/robert-rauschenberg/interview-1955-1
53,reclining-nude-on-a-blue-cushion-red-nude.jpg!Large.jpg,Sleeping Nude with Arms Open (Red Nude),Expressionism,Amedeo Modigliani,https://www.wikiart.org/en/amedeo-modigliani/sleeping-nude-with-arms-open-red-nude-1917-1
54,Remebrandt.jpg,Rembrandt,Transavantgarde,Alexander Roitburd,https://www.wikiart.org/en/alexander-roitburd/rembrandt
55,Richter.jpg,Moritz,New European Painting,Gerhard Richter,https://www.wikiart.org/en/gerhard-richter/moritz-2000
56,Richter2.jpg,Townscape,New European Painting,Gerhard Richter,https://www.wikiart.org/en/gerhard-richter/townscape-1969-0
57,RobertCampin.jpg,The Mérode Altarpiece - The Annunciation,Northern Renaissance,Robert Campin,https://www.wikiart.org/en/robert-campin/the-m%C3%A9rode-altarpiece-the-annunciation-1428
58,Rodchenko1.jpg,Mandolin player,Constructivism,Alexander Rodchenko,https://www.wikiart.org/en/alexander-rodchenko/mandolin-player-1922
59,Rothko.jpg,Composition I,Expressionism,Mark Rothko,https://www.wikiart.org/en/mark-rothko/composition-i-1931
60,Rothko2.jpg,Untitled 16,Surrealism,Mark Rothko,https://www.wikiart.org/en/mark-rothko/untitled-16
61,Rozanova2.jpg,Smithy,Cubo-Futurism,Olga Rozanova,https://www.wikiart.org/en/olga-rozanova/smythy
62,samuel-palmera-hilly-scene-1828.jpg!Large.jpg,A Hilly Scene,Romanticism,Samuel Palmer,https://www.wikiart.org/en/samuel-palmer/samuel-palmera-hilly-scene-1828
63,self-portrait-with-brushes-1942.jpg,Self-Portrait with Brushes,Expressionism,Hans Hofmann,https://www.wikiart.org/en/hans-hofmann/self-portrait-with-brushes-1942
64,still-life.jpg,Still Life,Impressionism,Constantin Artachino,https://www.wikiart.org/en/constantin-artachino/still-life
65,the-annunciation-from-altar-of-philip-the-bold-1399.jpg!Large.jpg,The Annunciation (from Altar of Philip the Bold),International Gothic,Melchior Broederlam,https://www.wikiart.org/en/melchior-broederlam/the-annunciation-from-altar-of-philip-the-bold-1399
66,the-cast-off-doll-1921.jpg!Large.jpg,The Cast-Off Doll,Post-Impressionism,Suzanne Valadon,https://www.wikiart.org/en/suzanne-valadon/the-cast-off-doll-1921
67,the-day-dream-1880.jpg!Large.jpg,The Day Dream,Romanticism,Dante Gabriel Rossetti,https://www.wikiart.org/en/dante-gabriel-rossetti/the-day-dream-1880
68,the-dream-1910.jpg!Large.jpg,The Dream,Naïve Art (Primitivism),Henri Rousseau,https://www.wikiart.org/en/henri-rousseau/the-dream-1910
69,the-liver-is-the-cock-s-comb.jpg,The Liver is the Cock's Comb,Abstract Expressionism,Arshile Gorky,https://www.wikiart.org/en/arshile-gorky/the-liver-is-the-cock-s-comb
70,the-memory-of-the-golden-apse-2009.jpg,The Memory of the Golden Apse,Expressionism,Marin Gherasim,https://www.wikiart.org/en/marin-gherasim/the-memory-of-the-golden-apse-2009
71,the-pink-candle-1910.jpg!Large.jpg,The Pink Candle,Naïve Art (Primitivism),Henri Rousseau,https://www.wikiart.org/en/henri-rousseau/the-pink-candle-1910
72,the-row.jpg!Large.jpg,The Row,Symbolism,Felicien Rops,https://www.wikiart.org/en/felicien-rops/the-row
73,the-snow-maiden.jpg!Large.jpg,The Snow Maiden,Symbolism,Mikhail Vrubel,https://www.wikiart.org/en/mikhail-vrubel/the-snow-maiden
74,the-virgin-and-child-enthroned-with-saints-jerome-and-francis-1458.jpg!Large.jpg,The Virgin and Child Enthroned with Saints Jerome and Francis,Northern Renaissance,Petrus Christus,https://www.wikiart.org/en/petrus-christus/the-virgin-and-child-enthroned-with-saints-jerome-and-francis-1458
